No,Nama Lengkap,Prodi,Jenis Kelamin,Jarak Tempat Tinggal kesekolah(Km),Asal Sekolah,Tahun Lulus,SKS,Ikut Organisasi,Ikut UKM,IPK,Pekerjaan Orang Tua,Penghasilan,Tanggungan,Status Beasiswa,Status_KIP,Status_PKH
245.0,RARA ADETIA,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMAN 1 TUMUJAJAR,2020.0,19.0,Tidak,Tidak,3.8,Karyawan Swasta,Sedang,2.0,Tidak,Ya,Ya
246.0,LIANA,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMAN 1 TUMUJAJAR,2020.0,19.0,Tidak,Ikut,3.8,PNS,Tinggi,1.0,Tidak,Tidak,Tidak
247.0,TEGAR ILHAM SYAHPUTRA,Pendidikan Bahasa Inggris | Reguler,L,Dekat,SMAN 1 PAGELARAN,2020.0,19.0,Tidak,Ikut,3.7,Wiraswasta,Tinggi,2.0,Tidak,Ya,Tidak
248.0,NIDA NURIA,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMAN 1 PAGELARAN,2020.0,19.0,Tidak,Ikut,3.0,Wiraswasta,Sedang,1.0,Tidak,Tidak,Ya
249.0,HENDRIK SEKTIAWAN,Pendidikan Bahasa Inggris | Reguler,L,Dekat,SMA PELITA BANDAR LAMPUNG,2020.0,19.0,Tidak,Ikut,1.7,Wiraswasta,Rendah,2.0,Tidak,Tidak,Ya
250.0,AMAY LEONY CITRA DEWI,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMA N 1 GEDUNG MENENG,2020.0,19.0,Tidak,Ikut,3.3,Wiraswasta,Tinggi,3.0,Tidak,Ya,Tidak
251.0,DWIKI ADI SAPUTRA,Pendidikan Bahasa Inggris | Reguler,L,Dekat,SMA PERINTIS 2 BANDAR LAMPUNG,2020.0,19.0,Tidak,Ikut,3.6,Wiraswasta,Sedang,2.0,Tidak,Ya,Tidak
252.0,GITA FADILA RAHMAWATI,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMAN 1 LIWA,2020.0,19.0,Tidak,Ikut,3.5,Wiraswasta,Sedang,3.0,Tidak,Ya,Ya
253.0,RIZKY RAHMAWATI,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMAN 1 PRINGSEWU,2020.0,19.0,Ikut,Ikut,3.0,Wiraswasta,Rendah,2.0,Tidak,Ya,Tidak
254.0,HESTI NOVI SAPUTRI,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMA NEGERI 1 GUNUNG SUGIH,2020.0,19.0,Ikut,Ikut,3.7,Wiraswasta,Rendah,3.0,Terima,Ya,Ya
255.0,RONA MUTHI JAUZAA,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMA NEGRI 2 KOTAAGUNG,2020.0,19.0,Ikut,Ikut,3.6,Wiraswasta,Sedang,2.0,Tidak,Ya,Ya
256.0,RAFI IZZA ALYUDA,Pendidikan Bahasa Inggris | Reguler,L,Dekat,SMA N 1 BANDAR MATARAM,2020.0,20.0,Tidak,Ikut,3.7,Wiraswasta,Sedang,1.0,Tidak,Tidak,Tidak
257.0,INDRI RAHAYU,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMA N 1 SENDANG AGUNG,2020.0,20.0,Tidak,Ikut,3.7,Wiraswasta,Sedang,1.0,Tidak,Ya,Ya
258.0,DEWI INDRIYANI,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMK N 7 BANDAR LAMPUNG,2020.0,20.0,Tidak,Ikut,3.4,Wiraswasta,Tinggi,3.0,Tidak,Tidak,Ya
259.0,DEVA ALVIN AZZAHRA,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMA N 7 BANDAR LAMPUNG,2020.0,20.0,Tidak,Ikut,3.7,Wiraswasta,Tinggi,2.0,Tidak,Tidak,Tidak
260.0,MERLIANA KUSUMA ASTUTI,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMK SMTI BANDAR LAMPUNG,2020.0,20.0,Tidak,Ikut,3.6,Wiraswasta,Rendah,2.0,Tidak,Ya,Tidak
261.0,MELVIN ARFIANDITA,Pendidikan Bahasa Inggris | Reguler,P,Jauh,MAN 1 TANGGAMUS,2020.0,20.0,Tidak,Ikut,3.7,Wiraswasta,Tinggi,2.0,Tidak,Ya,Tidak
262.0,FITRYA EVIYANI,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMA N 01 WAY TENONG,2020.0,20.0,Tidak,Ikut,3.7,Wiraswasta,Rendah,2.0,Tidak,Tidak,Ya
263.0,INDRA IRAWAN,Pendidikan Bahasa Inggris | Reguler,L,Dekat,SMA PERINTIS 2 BANDAR LAMPUNG,2020.0,20.0,Tidak,Tidak,3.05,Wiraswasta,Tinggi,2.0,Tidak,Ya,Tidak
264.0,ELISA FITRI,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMA N 2 KALIANDA,2020.0,20.0,Tidak,Ikut,3.28,PNS,Sedang,1.0,Tidak,Ya,Ya
265.0,LAURA MONICA,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMK YP 96 BUKIT KEMUNING,2020.0,20.0,Tidak,Ikut,3.55,PNS,Sedang,2.0,Tidak,Ya,Ya
266.0,KHOIRUNNISA,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMA NEGRI 1 KOTA METRO,2020.0,20.0,Tidak,Ikut,2.3,PNS,Tinggi,2.0,Tidak,Tidak,Tidak
267.0,ALFIA SHANY,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMA XAVERIUS PRINGSEWU,2020.0,20.0,Tidak,Ikut,3.3,PNS,Rendah,4.0,Tidak,Ya,Tidak
268.0,AMIDA KHOIROTUNNISA,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMAN 17 BANDAR LAMPUNG,2020.0,20.0,Tidak,Ikut,3.22,Petani,Sedang,3.0,Tidak,Ya,Ya
269.0,DICKY BAGUS SETIAWAN,Pendidikan Bahasa Inggris | Reguler,L,Dekat,SMA MUHAMMADIYAH GISTING,2020.0,20.0,Tidak,Ikut,2.8,Petani,Rendah,3.0,Tidak,Tidak,Ya
270.0,PULUNG DWI NANDA,Pendidikan Bahasa Inggris | Reguler,L,Dekat,SMK YPIB KOTABUMI,2020.0,20.0,Tidak,Ikut,2.07,Petani,Sedang,3.0,Tidak,Tidak,Ya
271.0,ALDA SABRINA,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMA PERSADA BANDAR LAMPUNG,2020.0,20.0,Tidak,Ikut,2.0,Petani,Sedang,3.0,Tidak,Tidak,Ya
272.0,AHMAD BUDIMAN,Pendidikan Bahasa Inggris | Reguler,L,Dekat,SMK N 7 BANDAR LAMPUNG,2020.0,20.0,Tidak,Ikut,3.72,Petani,Sedang,3.0,Terima,Ya,Ya
273.0,FARAS WANDIKA,Pendidikan Bahasa Inggris | Reguler,L,Dekat,SMA NEGERI 1 KALIANDA,2020.0,20.0,Tidak,Ikut,3.34,Petani,Sedang,3.0,Tidak,Tidak,Tidak
274.0,AYANG GITA FERNANDO,Pendidikan Bahasa Inggris | Reguler,L,Dekat,SMA NEGERI 1 KOTA AGUNG,2020.0,20.0,Tidak,Ikut,3.54,Petani,Sedang,3.0,Tidak,Tidak,Ya
275.0,AGUSTINA WIDIANTI,Pendidikan Bahasa Inggris | Reguler,P,Dekat,MAN 1 PRINGSEWU,2020.0,20.0,Tidak,Ikut,3.44,PNS,Tinggi,3.0,Tidak,Tidak,Tidak
276.0,IKE ELISA,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMA N 16 BANDAR LAMPUNG,2020.0,20.0,Tidak,Ikut,3.66,PNS,Sedang,1.0,Tidak,Ya,Ya
277.0,ANJUNG KINANTHI DEWI,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMK NEGERI 2 METRO,2020.0,20.0,Tidak,Tidak,3.47,PNS,Tinggi,2.0,Tidak,Tidak,Tidak
278.0,MAULIDAN NUGROHO,Pendidikan Bahasa Inggris | Reguler,L,Jauh,SMAN 1 LIMAU,2020.0,20.0,Tidak,Ikut,3.01,PNS,Tinggi,2.0,Tidak,Ya,Tidak
279.0,AIRIN HANDAYANI,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMK N 7 BANDARLAMPUNG,2020.0,20.0,Tidak,Ikut,2.79,PNS,Rendah,2.0,Tidak,Ya,Ya
280.0,ELA OKTAVIA SAPUTRI,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMK HAMPAR BAYDURI,2020.0,20.0,Tidak,Ikut,3.65,PNS,Sedang,2.0,Tidak,Tidak,Tidak
281.0,MA'RUR ROFIK,Pendidikan Bahasa Inggris | Reguler,L,Jauh,SMA NEGERI 1 MUARADUA,2020.0,20.0,Tidak,Ikut,3.4,PNS,Sedang,1.0,Tidak,Tidak,Tidak
282.0,FAREL TULUS ROHMAT,Pendidikan Bahasa Inggris | Reguler,L,Dekat,SMA N 1 BUMI AGUNG,2020.0,20.0,Tidak,Ikut,2.97,PNS,Rendah,2.0,Tidak,Ya,Ya
283.0,AMANDA PURBA DHAMARA,Pendidikan Bahasa Inggris | Reguler,L,Jauh,SMAS TMI ROUDLATUL QUR'AN METRO,2020.0,20.0,Tidak,Ikut,3.72,PNS,Sedang,2.0,Tidak,Ya,Ya
284.0,MUHAMMAD SHOIF FURQON,Pendidikan Bahasa Inggris | Reguler,L,Dekat,MAN 1 PESAWARAN,2020.0,20.0,Tidak,Ikut,2.76,Petani,Tinggi,1.0,Tidak,Tidak,Ya
285.0,ANI AZZARA,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMA NEGERI 1 BLAMBANGAN UMPU,2020.0,20.0,Tidak,Ikut,3.36,Petani,Tinggi,2.0,Tidak,Tidak,Ya
286.0,IBNU RIVA,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMAN 1 KOTAAGUNG,2020.0,20.0,Tidak,Ikut,3.06,Petani,Tinggi,1.0,Tidak,Ya,Tidak
287.0,NOVI SETIANI,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMA N 2 PADANG CERMIN,2020.0,20.0,Tidak,Ikut,3.26,Petani,Rendah,2.0,Tidak,Ya,Tidak
288.0,WALIJAH,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMA N 1 ULU BELU,2020.0,20.0,Tidak,Ikut,3.82,Petani,Rendah,3.0,Terima,Tidak,Tidak
289.0,SEPTIKA ANDRIA,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMAN 1 TALANGPADANG,2019.0,20.0,Tidak,Ikut,3.01,Petani,Tinggi,2.0,Tidak,Tidak,Ya
290.0,SAFRUDIN,Pendidikan Bahasa Inggris | Reguler,L,Dekat,SMA N 1 WAY TENONG,2020.0,20.0,Tidak,Ikut,1.98,Petani,Tinggi,3.0,Tidak,Tidak,Tidak
291.0,RIDHO RIZIQ,Pendidikan Bahasa Inggris | Reguler,L,Dekat,SMA NEGERI 1 GEDONG TATAAN,2020.0,20.0,Tidak,Ikut,2.45,Petani,Tinggi,2.0,Tidak,Tidak,Ya
292.0,NAWANG SARI,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMK YP 96 BUKIT KEMUNING,2020.0,20.0,Ikut,Tidak,2.51,Petani,Rendah,3.0,Tidak,Ya,Tidak
293.0,RIDAYANI,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMK NEGERI 7 BANDAR LAMPUNG,2020.0,20.0,Tidak,Ikut,2.72,Petani,Tinggi,2.0,Tidak,Ya,Ya
294.0,EKA SRI WAHYUNI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA N 1 SUNGKAI UTARA,2020.0,20.0,Tidak,Ikut,2.96,Pensiunan,Tinggi,1.0,Tidak,Tidak,Ya
295.0,SRI WAHYUNINGSIH,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMAN 1 CUKUH BALAK,2020.0,20.0,Tidak,Ikut,3.8,PNS,Tinggi,1.0,Tidak,Ya,Ya
296.0,NOVENTY RATNA SARI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK WIDYA YAHYA GADINGREJO,2020.0,20.0,Tidak,Ikut,3.42,Wiraswasta,Sedang,3.0,Tidak,Ya,Tidak
297.0,VERAN TIKA AGUSTIN,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,MAN 1 PRINGSEWU,2020.0,20.0,Tidak,Ikut,3.25,Wiraswasta,Tinggi,2.0,Tidak,Tidak,Tidak
298.0,SYAHRUL TEDDY,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMK WIDYA YAHYA GADINGREJO,2020.0,20.0,Tidak,Ikut,2.43,Petani,Sedang,2.0,Tidak,Tidak,Tidak
299.0,HUDAIFAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMAN 1 BANYUMAS,2020.0,20.0,Tidak,Ikut,3.48,Wirausaha,Tinggi,2.0,Tidak,Ya,Ya
300.0,SELLA RAISSA ZAHARA,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMA NEGERI 1 WAY TENONG,2020.0,20.0,Tidak,Ikut,2.89,Sudah Meninggal,Sedang,2.0,Tidak,Tidak,Ya
301.0,JODI PRANATA,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMA N 1 PARDASUKA,2020.0,20.0,Tidak,Ikut,1.95,Pensiunan,Sedang,2.0,Tidak,Tidak,Ya
302.0,REYKA ANISSA PUTRI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK MUHAMMADIYAH 3 METRO,2020.0,20.0,Tidak,Ikut,3.79,Sudah Meninggal,Tinggi,1.0,Tidak,Tidak,Ya
303.0,TEGUH HARIYONO,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMK WIDYA YAHYA GADINGREJO,2020.0,20.0,Tidak,Ikut,3.32,Petani,Sedang,2.0,Tidak,Tidak,Tidak
304.0,CITRA WAHYUNINGTIAS,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA NEGERI 1 MUARADUA,2020.0,22.0,Tidak,Ikut,3.68,Wiraswasta,Sedang,2.0,Tidak,Tidak,Tidak
305.0,VERLINA INDRIYANI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA N 1 KIBANG,2020.0,22.0,Tidak,Ikut,3.21,Petani,Tinggi,4.0,Tidak,Ya,Tidak
306.0,EKO HILALUDDIN,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMK NEGERI 7 BANDAR LAMPUNG,2020.0,22.0,Tidak,Ikut,3.74,Wiraswasta,Tinggi,2.0,Tidak,Ya,Ya
307.0,SHERLY OKTAVIA PUJIANI,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMA N 1 SEPUTIH MATARAM,2020.0,22.0,Tidak,Ikut,3.26,Wiraswasta,Sedang,3.0,Tidak,Ya,Tidak
308.0,SISKA DEWI YULIANAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK HAMPAR BAIDURI,2020.0,22.0,Tidak,Ikut,3.63,PNS,Sedang,3.0,Tidak,Ya,Ya
309.0,RAMA. MA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA NEGRI 1 AMBARAWA,2020.0,22.0,Tidak,Ikut,3.58,Pensiunan,Tinggi,3.0,Tidak,Tidak,Ya
310.0,SITI NURROHIMAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,MAN 3 PALEMBANG,2020.0,22.0,Tidak,Ikut,0.84,Petani,Sedang,3.0,Tidak,Ya,Ya
311.0,TRI YUNIARSIH,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMAN 1 TUMUJAJAR,2020.0,22.0,Tidak,Ikut,3.32,Wiraswasta,Tinggi,3.0,Tidak,Ya,Ya
312.0,INGGIL DIAH RANI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK NEGERI 2 METRO,2020.0,22.0,Tidak,Tidak,3.32,Karyawan Swasta,Rendah,3.0,Tidak,Ya,Tidak
313.0,KELVIN JUNANDA FAZRI,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMK AL QOLAM KOTA AGUNG,2020.0,22.0,Tidak,Ikut,3.53,PNS,Tinggi,3.0,Tidak,Ya,Tidak
314.0,RISAH LAFISIYAM,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMAN 15 BANDAR LAMPUNG,2020.0,22.0,Tidak,Ikut,1.53,Wiraswasta,Sedang,1.0,Tidak,Tidak,Tidak
315.0,HANA KAMELIA FITRI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMAN 01 PARDASUKA,2020.0,22.0,Tidak,Ikut,3.0,Wiraswasta,Sedang,2.0,Tidak,Tidak,Tidak
316.0,ANNISA FITRIA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA N 01 AIR NANINGAN,2020.0,22.0,Tidak,Ikut,3.42,Wiraswasta,Sedang,2.0,Tidak,Tidak,Tidak
317.0,MIFTAHUL HASANAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMAN 1 SUKOHARJO,2020.0,22.0,Tidak,Ikut,1.42,Wiraswasta,Sedang,2.0,Tidak,Ya,Tidak
318.0,MEMEYLIA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK MUHAMMADIYAH 3 METRO,2020.0,22.0,Tidak,Ikut,3.47,Wiraswasta,Sedang,2.0,Tidak,Tidak,Ya
319.0,VIA ARINDRI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK MUHAMMADIYAH 3 METRO,2020.0,22.0,Tidak,Ikut,1.53,Wiraswasta,Sedang,1.0,Tidak,Ya,Tidak
320.0,SATRIA TRIANSYAH,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMK MUHAMMADIYAH 3 METRO,2019.0,22.0,Tidak,Ikut,3.21,Wiraswasta,Sedang,2.0,Tidak,Tidak,Ya
321.0,ASMIYATI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,MAN 1 METRO,2020.0,22.0,Tidak,Ikut,3.37,Wiraswasta,Sedang,2.0,Tidak,Tidak,Ya
322.0,SIVA NIKAN TIARA ANANDA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK KH.GHALIB PRINGSEWU,2020.0,22.0,Tidak,Ikut,3.21,Wiraswasta,Sedang,1.0,Tidak,Ya,Tidak
323.0,HANI LESTARI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA MUHAMMADIYA 01 PRINGSEWU,2020.0,22.0,Tidak,Ikut,3.58,Wiraswasta,Sedang,2.0,Tidak,Ya,Ya
324.0,RANI AKMALIDA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA NEGERI 1 ADILUWIH,2020.0,22.0,Tidak,Ikut,3.68,Wiraswasta,Sedang,1.0,Tidak,Tidak,Tidak
325.0,ALLAN ALDYANSYAH,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,MA AL-MIZAN,2020.0,22.0,Tidak,Ikut,1.21,PNS,Tinggi,2.0,Tidak,Tidak,Ya
326.0,GUSTI FEBI RENALTA,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMA SYUBBANUL WATHON,2020.0,22.0,Tidak,Ikut,3.11,Wiraswasta,Sedang,3.0,Tidak,Tidak,Ya
327.0,RESTI WAHYUNI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK KH GHOLIB PRINGSEWU,2020.0,22.0,Tidak,Ikut,3.68,Wiraswasta,Sedang,2.0,Tidak,Ya,Ya
328.0,HARI SANJAYA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA MUHAMMADIYAH PRINGSEWU,2020.0,22.0,Tidak,Ikut,3.42,Petani,Sedang,3.0,Tidak,Tidak,Tidak
329.0,DWI APRIYANI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK KH.GHALIB PRINGSEWU,2020.0,22.0,Tidak,Ikut,3.52,Wirausaha,Sedang,2.0,Tidak,Tidak,Tidak
330.0,CHELSIA NANDA CANTIKA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SUPM N KOTA AGUNG,2020.0,22.0,Tidak,Ikut,3.42,Sudah Meninggal,Sedang,3.0,Tidak,Ya,Ya
331.0,DAVIT ENDRIKA,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMAN 1 TALANGPADANG,2020.0,22.0,Tidak,Ikut,3.33,Pensiunan,Sedang,2.0,Tidak,Ya,Ya
332.0,MILA RAHMADAYANTI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK YASMIDA AMBARAWA,2020.0,22.0,Tidak,Ikut,3.5,Sudah Meninggal,Sedang,1.0,Tidak,Ya,Ya
333.0,DONI RIZ KYAWAN,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,MAN 1 PRINGSEWU,2020.0,22.0,Tidak,Tidak,3.2,Petani,Sedang,1.0,Tidak,Ya,Tidak
334.0,NIA WISKY MUTIARA RINA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK KESEHATAN MITRA BANGSA,2020.0,22.0,Tidak,Ikut,3.87,Wiraswasta,Sedang,3.0,Terima,Ya,Tidak
335.0,YENNI SAPITRI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA NEGERI 1 BANYUMAS,2020.0,22.0,Tidak,Ikut,3.09,Petani,Sedang,2.0,Tidak,Ya,Ya
336.0,KUSTOYO,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMK YADIKA PAGELARAN,2020.0,22.0,Tidak,Ikut,3.42,Wiraswasta,Sedang,2.0,Tidak,Tidak,Tidak
337.0,RIKI DHARMAWAN,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMAN 1 CANDIPURO,2020.0,22.0,Tidak,Ikut,3.52,Wiraswasta,Sedang,2.0,Tidak,Tidak,Ya
338.0,SAFRIZAL,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,MADRASAH ALIYAH NEGERI 1 OGAN KOMERING ULU SELATAN,2020.0,22.0,Tidak,Ikut,3.8,PNS,Sedang,2.0,Tidak,Tidak,Tidak
339.0,PUJI RAHAYU,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMK KESEHATAN HAMPAR BAIDURI KALIANDA,2020.0,22.0,Tidak,Ikut,3.6,Pensiunan,Sedang,2.0,Tidak,Tidak,Tidak
340.0,NINDI AZLIA,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMK HAMPAR BAIDURI,2020.0,22.0,Tidak,Ikut,3.6,Petani,Sedang,1.0,Tidak,Tidak,Tidak
341.0,SITI NUR'AINI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA NEGERI 2 KOTA AGUNG,2020.0,22.0,Tidak,Ikut,3.8,Wiraswasta,Sedang,1.0,Tidak,Tidak,Tidak
342.0,NOVA VINDRIANI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA 1 KEDONDONG,2020.0,22.0,Tidak,Ikut,3.8,Karyawan Swasta,Sedang,1.0,Tidak,Tidak,Ya
343.0,YUDA SATRIA,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMA NEGERI 01 PRINGSEWU,2020.0,22.0,Tidak,Ikut,3.5,PNS,Sedang,1.0,Tidak,Tidak,Ya
344.0,RYO WARDANA WIJAYA,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMA NEGERI 1 KEDONDONG,2020.0,22.0,Tidak,Ikut,3.7,Wiraswasta,Sedang,2.0,Tidak,Tidak,Tidak
345.0,ITA PUSPITASARI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA XAVERIUS PRINGSEWU,2020.0,22.0,Tidak,Ikut,3.6,Wiraswasta,Sedang,2.0,Tidak,Tidak,Ya
346.0,FIDELLA PUTRI ASRI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMAN 1 BANGUNREJO,2020.0,22.0,Tidak,Ikut,3.41,Wiraswasta,Tinggi,3.0,Tidak,Ya,Tidak
347.0,RIZKA ISTIQOMAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMAN 1 BARADATU,2020.0,22.0,Tidak,Ikut,3.46,Wiraswasta,Sedang,3.0,Tidak,Tidak,Ya
348.0,ANGGI ERLINA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMAN 1 GEDONG TATAAN,2020.0,22.0,Tidak,Ikut,3.58,Wiraswasta,Tinggi,3.0,Tidak,Ya,Tidak
349.0,NURUL KHOLIFAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMA NEGERI 2 KOTABUMI ,2020.0,22.0,Ikut,Ikut,3.52,Wiraswasta,Tinggi,3.0,Tidak,Tidak,Tidak
350.0,BAYU FIRDAUS,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,MA MA'ARIF KEPUTRAN,2020.0,22.0,Ikut,Ikut,3.62,Wiraswasta,Sedang,3.0,Tidak,Ya,Ya
351.0,IFAN RAHMADANI,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMA N 2 KOTAAGUNG,2019.0,19.0,Tidak,Tidak,3.53,Wiraswasta,Sedang,3.0,Tidak,Tidak,Tidak
352.0,ANDINI JULIA DAMAIYANTI,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMAN 1 MENGGALA,2020.0,19.0,Tidak,Ikut,3.38,Wiraswasta,Sedang,1.0,Tidak,Ya,Tidak
353.0,DWI OKTAVIA,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMA N 2 PRINGSEWU,2020.0,19.0,Tidak,Ikut,3.21,Wiraswasta,Sedang,2.0,Tidak,Tidak,Tidak
354.0,AISYAH NABILA AZAHRA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA MUHAMMADIYAH GISTING,2020.0,19.0,Tidak,Ikut,3.64,Wiraswasta,Sedang,2.0,Tidak,Tidak,Ya
355.0,AKHMAD MUZAKI,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,SMAN 1 PRINGSEWU,2020.0,19.0,Tidak,Ikut,3.41,PNS,Sedang,2.0,Tidak,Ya,Tidak
356.0,AMAR MA'RUF WASIDIQ,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,SMA NEGERI 1 RUMBIA,2020.0,19.0,Tidak,Ikut,3.48,Wiraswasta,Sedang,2.0,Tidak,Tidak,Tidak
357.0,DODDY BERLIAN,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,SMAN 1 KRUI,2020.0,19.0,Tidak,Ikut,3.28,Wiraswasta,Sedang,1.0,Tidak,Tidak,Tidak
358.0,SALSABELA FUAIRI QOLBY,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMAN 1 TALANGPADANG,2020.0,19.0,Tidak,Ikut,3.34,Petani,Sedang,2.0,Tidak,Ya,Tidak
359.0,VIOLA ATIKA RIYADI,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMA NEGERI 4 KOTA TANGERANG,2020.0,19.0,Tidak,Ikut,3.56,Wirausaha,Sedang,2.0,Tidak,Tidak,Tidak
360.0,MUHAMMAD ABDURROHIM ZAENI,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMK FARMASI KESUMA BANGSA BANDAR LAMPUNG,2020.0,19.0,Tidak,Ikut,3.09,Sudah Meninggal,Sedang,1.0,Tidak,Tidak,Tidak
361.0,FALAH MUNTAHA HENDRA,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,SMA N2 PRINGSEWU,2020.0,19.0,Tidak,Ikut,3.41,Pensiunan,Sedang,2.0,Tidak,Tidak,Tidak
